"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"GET /users/{id} returns a single known user","2268","getSingleUser_returns200AndExpectedEmail","ReqRes API Suite","Thu Sep 24 14:26:32 UTC 2026","passed","Thu Sep 24 14:26:35 UTC 2026","com.satyam.api.tests.UsersApiTest","Users API","com.satyam.api.tests.UsersApiTest","getSingleUser_returns200AndExpectedEmail"
"POST /register without password returns 400","234","register_missingPassword_returns400","ReqRes API Suite","Thu Sep 24 14:26:38 UTC 2026","passed","Thu Sep 24 14:26:39 UTC 2026","com.satyam.api.tests.UsersApiTest","Users API","com.satyam.api.tests.UsersApiTest","register_missingPassword_returns400"
"GET missing user returns 404","369","getMissingUser_returns404","ReqRes API Suite","Thu Sep 24 14:26:38 UTC 2026","passed","Thu Sep 24 14:26:38 UTC 2026","com.satyam.api.tests.UsersApiTest","Users API","com.satyam.api.tests.UsersApiTest","getMissingUser_returns404"
"POST /users creates a user (data-driven from JSON)","379","createUser_returns201WithId","ReqRes API Suite","Thu Sep 24 14:26:37 UTC 2026","passed","Thu Sep 24 14:26:37 UTC 2026","com.satyam.api.tests.UsersApiTest","Users API","com.satyam.api.tests.UsersApiTest","createUser_returns201WithId"
"PATCH /users/{id} partially updates job","384","updateUserPatch_returns200","ReqRes API Suite","Thu Sep 24 14:26:37 UTC 2026","passed","Thu Sep 24 14:26:38 UTC 2026","com.satyam.api.tests.UsersApiTest","Users API","com.satyam.api.tests.UsersApiTest","updateUserPatch_returns200"
"Create then deserialize POJO round-trip","222","createUser_pojoRoundTrip","ReqRes API Suite","Thu Sep 24 14:26:39 UTC 2026","passed","Thu Sep 24 14:26:40 UTC 2026","com.satyam.api.tests.UsersApiTest","Users API","com.satyam.api.tests.UsersApiTest","createUser_pojoRoundTrip"
"GET /users?page=2 returns a page of users","282","listUsers_page2_returnsDataArray","ReqRes API Suite","Thu Sep 24 14:26:35 UTC 2026","passed","Thu Sep 24 14:26:35 UTC 2026","com.satyam.api.tests.UsersApiTest","Users API","com.satyam.api.tests.UsersApiTest","listUsers_page2_returnsDataArray"
"POST /users creates a user (data-driven from JSON)","481","createUser_returns201WithId","ReqRes API Suite","Thu Sep 24 14:26:36 UTC 2026","passed","Thu Sep 24 14:26:36 UTC 2026","com.satyam.api.tests.UsersApiTest","Users API","com.satyam.api.tests.UsersApiTest","createUser_returns201WithId"
"GET /users/{id} response matches JSON schema","378","getSingleUser_matchesJsonSchema","ReqRes API Suite","Thu Sep 24 14:26:35 UTC 2026","passed","Thu Sep 24 14:26:35 UTC 2026","com.satyam.api.tests.UsersApiTest","Users API","com.satyam.api.tests.UsersApiTest","getSingleUser_matchesJsonSchema"
"GET /users page query returns consistent per_page","98","listUsers_hasExpectedPerPage","ReqRes API Suite","Thu Sep 24 14:26:39 UTC 2026","passed","Thu Sep 24 14:26:39 UTC 2026","com.satyam.api.tests.UsersApiTest","Users API","com.satyam.api.tests.UsersApiTest","listUsers_hasExpectedPerPage"
"DELETE /users/{id} returns 204","363","deleteUser_returns204","ReqRes API Suite","Thu Sep 24 14:26:38 UTC 2026","passed","Thu Sep 24 14:26:38 UTC 2026","com.satyam.api.tests.UsersApiTest","Users API","com.satyam.api.tests.UsersApiTest","deleteUser_returns204"
"POST /users creates a user (data-driven from JSON)","381","createUser_returns201WithId","ReqRes API Suite","Thu Sep 24 14:26:36 UTC 2026","passed","Thu Sep 24 14:26:37 UTC 2026","com.satyam.api.tests.UsersApiTest","Users API","com.satyam.api.tests.UsersApiTest","createUser_returns201WithId"
"PUT /users/{id} updates name and job","247","updateUserPut_returns200","ReqRes API Suite","Thu Sep 24 14:26:37 UTC 2026","passed","Thu Sep 24 14:26:37 UTC 2026","com.satyam.api.tests.UsersApiTest","Users API","com.satyam.api.tests.UsersApiTest","updateUserPut_returns200"
"POST /register with valid demo credentials returns token","214","register_valid_returnsToken","ReqRes API Suite","Thu Sep 24 14:26:39 UTC 2026","passed","Thu Sep 24 14:26:39 UTC 2026","com.satyam.api.tests.UsersApiTest","Users API","com.satyam.api.tests.UsersApiTest","register_valid_returnsToken"
"GET /users list response matches JSON schema","368","listUsers_matchesJsonSchema","ReqRes API Suite","Thu Sep 24 14:26:35 UTC 2026","passed","Thu Sep 24 14:26:36 UTC 2026","com.satyam.api.tests.UsersApiTest","Users API","com.satyam.api.tests.UsersApiTest","listUsers_matchesJsonSchema"
"POST /login without password returns 400","361","login_missingPassword_returns400","ReqRes API Suite","Thu Sep 24 14:26:39 UTC 2026","passed","Thu Sep 24 14:26:39 UTC 2026","com.satyam.api.tests.UsersApiTest","Users API","com.satyam.api.tests.UsersApiTest","login_missingPassword_returns400"
"POST /login with valid demo credentials returns token","210","login_valid_returnsToken","ReqRes API Suite","Thu Sep 24 14:26:39 UTC 2026","passed","Thu Sep 24 14:26:39 UTC 2026","com.satyam.api.tests.UsersApiTest","Users API","com.satyam.api.tests.UsersApiTest","login_valid_returnsToken"
